pipeline,attack_type,attack_id,attack_name,truth_count,prediction_count,tp,fp,fn,precision,recall,f1,jaccard,mapping_accuracy,detection_accuracy,ground_truth_cves,predicted_cves
baseline,CAPEC,131,Resource Leak Exposure,3,20,3,17,0,0.15,1.0,0.2608695652173913,0.15,0.0,1.0,"['CVE-1999-1127', 'CVE-2001-0830', 'CVE-2002-1372']","['CVE-1999-1127', 'CVE-2000-0506', 'CVE-2001-0830', 'CVE-2002-1372', 'CVE-2004-1656', 'CVE-2004-2530', 'CVE-2005-1527', 'CVE-2005-1688', 'CVE-2006-3790', 'CVE-2006-6870', 'CVE-2007-1409', 'CVE-2007-4103', 'CVE-2008-2121', 'CVE-2009-2299', 'CVE-2009-2858', 'CVE-2020-0688', 'CVE-2020-10148', 'CVE-2020-3161', 'CVE-2020-3452', 'CVE-2021-25476']"
baseline,CAPEC,132,Symlink Attack,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-1999-1386', 'CVE-2001-1042', 'CVE-2001-1043', 'CVE-2001-1386', 'CVE-2002-0725', 'CVE-2002-0934', 'CVE-2003-0517', 'CVE-2003-0844', 'CVE-2003-1233', 'CVE-2004-0217', 'CVE-2004-0689', 'CVE-2004-1901', 'CVE-2005-0587', 'CVE-2005-0824', 'CVE-2005-1879', 'CVE-2005-1880', 'CVE-2005-1916', 'CVE-2009-3289', 'CVE-2015-3629', 'CVE-2020-3452']"
baseline,CAPEC,141,Cache Poisoning,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-1218', 'CVE-2001-1452', 'CVE-2002-0722', 'CVE-2002-0934', 'CVE-2002-1688', 'CVE-2004-0892', 'CVE-2005-0587', 'CVE-2005-0877', 'CVE-2005-1892', 'CVE-2005-1894', 'CVE-2006-6870', 'CVE-2007-3409', 'CVE-2007-6013', 'CVE-2008-3438', 'CVE-2009-2054', 'CVE-2020-15811', 'CVE-2020-25685', 'CVE-2020-3161', 'CVE-2020-3452', 'CVE-2022-23607']"
baseline,CAPEC,142,DNS Cache Poisoning,22,20,7,13,15,0.35,0.3181818181818182,0.3333333333333333,0.2,0.0,1.0,"['CVE-1999-1549', 'CVE-2000-1218', 'CVE-2000-1221', 'CVE-2001-0860', 'CVE-2001-0908', 'CVE-2001-1155', 'CVE-2001-1452', 'CVE-2001-1488', 'CVE-2001-1500', 'CVE-2002-0018', 'CVE-2002-0804', 'CVE-2003-0174', 'CVE-2003-0981', 'CVE-2004-0892', 'CVE-2004-1950', 'CVE-2005-0877', 'CVE-2005-2188', 'CVE-2006-1126', 'CVE-2006-5462', 'CVE-2022-30260', 'CVE-2022-30267', 'CVE-2022-30272']","['CVE-2000-1218', 'CVE-2001-0497', 'CVE-2001-1452', 'CVE-2002-0018', 'CVE-2002-0671', 'CVE-2002-0722', 'CVE-2002-0804', 'CVE-2003-0981', 'CVE-2003-1025', 'CVE-2004-0892', 'CVE-2004-2219', 'CVE-2005-0877', 'CVE-2006-6870', 'CVE-2007-2925', 'CVE-2007-3409', 'CVE-2008-0087', 'CVE-2008-3438', 'CVE-2008-3494', 'CVE-2020-15811', 'CVE-2020-25685']"
baseline,CAPEC,148,Content Spoofing,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-1117', 'CVE-2001-0398', 'CVE-2002-0108', 'CVE-2002-0197', 'CVE-2002-0722', 'CVE-2002-0934', 'CVE-2004-0380', 'CVE-2004-0892', 'CVE-2004-1104', 'CVE-2005-0587', 'CVE-2005-1575', 'CVE-2005-1650', 'CVE-2005-1652', 'CVE-2005-1688', 'CVE-2005-1892', 'CVE-2006-1126', 'CVE-2006-3617', 'CVE-2007-0163', 'CVE-2007-0164', 'CVE-2008-0087']"
baseline,CAPEC,150,Collect Data from Common Resource Locations,5,20,0,20,5,0.0,0.0,0.0,0.0,0.0,1.0,"['CVE-2005-1835', 'CVE-2019-8575', 'CVE-2020-12926', 'CVE-2021-33080', 'CVE-2022-31162']","['CVE-1999-0073', 'CVE-2000-0254', 'CVE-2001-1452', 'CVE-2001-1483', 'CVE-2002-0722', 'CVE-2002-0725', 'CVE-2002-0934', 'CVE-2002-1713', 'CVE-2002-2094', 'CVE-2003-0578', 'CVE-2003-0981', 'CVE-2004-0778', 'CVE-2005-1688', 'CVE-2005-1698', 'CVE-2006-7142', 'CVE-2007-1409', 'CVE-2007-5544', 'CVE-2008-0087', 'CVE-2008-3612', 'CVE-2009-0037']"
baseline,CAPEC,158,Sniffing Network Traffic,20,20,0,20,20,0.0,0.0,0.0,0.0,0.0,1.0,"['CVE-2002-1949', 'CVE-2004-1852', 'CVE-2005-3140', 'CVE-2007-4786', 'CVE-2007-4961', 'CVE-2007-5626', 'CVE-2007-5778', 'CVE-2008-0174', 'CVE-2008-0374', 'CVE-2008-1567', 'CVE-2008-3289', 'CVE-2008-4122', 'CVE-2008-4390', 'CVE-2008-6157', 'CVE-2008-6828', 'CVE-2009-0152', 'CVE-2009-0964', 'CVE-2009-1466', 'CVE-2009-1603', 'CVE-2009-2272']","['CVE-1999-0168', 'CVE-2000-0315', 'CVE-2001-0908', 'CVE-2001-1155', 'CVE-2001-1452', 'CVE-2001-1484', 'CVE-2002-0515', 'CVE-2002-0671', 'CVE-2002-1484', 'CVE-2003-0291', 'CVE-2004-0174', 'CVE-2004-0892', 'CVE-2007-3409', 'CVE-2008-0087', 'CVE-2008-2121', 'CVE-2008-3612', 'CVE-2008-6123', 'CVE-2008-7109', 'CVE-2020-3452', 'CVE-2022-29952']"
baseline,CAPEC,159,Redirect Access to Libraries,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0506', 'CVE-2000-1117', 'CVE-2001-0004', 'CVE-2002-0934', 'CVE-2002-1704', 'CVE-2002-1707', 'CVE-2003-0844', 'CVE-2004-0127', 'CVE-2004-0847', 'CVE-2005-0587', 'CVE-2005-1688', 'CVE-2007-1409', 'CVE-2007-4432', 'CVE-2009-0037', 'CVE-2009-3289', 'CVE-2009-3482', 'CVE-2020-10148', 'CVE-2020-3161', 'CVE-2020-3452', 'CVE-2022-36069']"
baseline,CAPEC,163,Spear Phishing,26,20,5,15,21,0.25,0.19230769230769232,0.2173913043478261,0.12195121951219512,0.0,1.0,"['CVE-2001-0398', 'CVE-2001-0643', 'CVE-2001-1410', 'CVE-2002-0197', 'CVE-2002-0722', 'CVE-2003-1025', 'CVE-2004-0537', 'CVE-2004-0761', 'CVE-2004-1104', 'CVE-2004-1451', 'CVE-2004-2219', 'CVE-2004-2227', 'CVE-2004-2258', 'CVE-2004-2530', 'CVE-2005-0143', 'CVE-2005-0144', 'CVE-2005-0243', 'CVE-2005-0590', 'CVE-2005-0593', 'CVE-2005-0831', 'CVE-2005-1575', 'CVE-2005-1678', 'CVE-2005-2271', 'CVE-2005-2272', 'CVE-2005-2273', 'CVE-2005-2274']","['CVE-2002-0018', 'CVE-2002-0108', 'CVE-2002-0197', 'CVE-2002-0722', 'CVE-2003-1025', 'CVE-2004-1104', 'CVE-2004-2150', 'CVE-2005-0590', 'CVE-2005-1650', 'CVE-2005-1652', 'CVE-2006-4068', 'CVE-2006-6679', 'CVE-2007-3409', 'CVE-2008-0087', 'CVE-2008-2049', 'CVE-2008-3289', 'CVE-2008-3494', 'CVE-2017-4015', 'CVE-2017-7440', 'CVE-2020-25685']"
baseline,CAPEC,165,File Manipulation,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-1999-1125', 'CVE-2000-1117', 'CVE-2001-0004', 'CVE-2001-0398', 'CVE-2002-0722', 'CVE-2002-0725', 'CVE-2002-0934', 'CVE-2003-0282', 'CVE-2003-0332', 'CVE-2003-0844', 'CVE-2004-0068', 'CVE-2004-0127', 'CVE-2005-0587', 'CVE-2005-1111', 'CVE-2005-1575', 'CVE-2005-1688', 'CVE-2007-0100', 'CVE-2008-4929', 'CVE-2009-3289', 'CVE-2009-3482']"
baseline,CAPEC,169,Footprinting,19,20,0,20,19,0.0,0.0,0.0,0.0,0.0,1.0,"['CVE-2000-1117', 'CVE-2001-1483', 'CVE-2001-1528', 'CVE-2002-0515', 'CVE-2002-1725', 'CVE-2003-0190', 'CVE-2003-1078', 'CVE-2004-0778', 'CVE-2004-2150', 'CVE-2004-2268', 'CVE-2005-0603', 'CVE-2005-1205', 'CVE-2007-1409', 'CVE-2007-5172', 'CVE-2008-2049', 'CVE-2008-4638', 'CVE-2021-25476', 'CVE-2022-0708', 'CVE-2022-31162']","['CVE-2000-0506', 'CVE-2000-1212', 'CVE-2001-0054', 'CVE-2002-0018', 'CVE-2002-0725', 'CVE-2002-0934', 'CVE-2002-1484', 'CVE-2002-2058', 'CVE-2004-0127', 'CVE-2004-0280', 'CVE-2004-2530', 'CVE-2005-1708', 'CVE-2006-6658', 'CVE-2007-0164', 'CVE-2007-0681', 'CVE-2007-4432', 'CVE-2007-6652', 'CVE-2008-2122', 'CVE-2009-2858', 'CVE-2021-22204']"
baseline,CAPEC,17,Using Malicious Files,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2001-0004', 'CVE-2001-0398', 'CVE-2001-1043', 'CVE-2002-0018', 'CVE-2002-0025', 'CVE-2002-0722', 'CVE-2002-0934', 'CVE-2002-1145', 'CVE-2002-1707', 'CVE-2004-0847', 'CVE-2004-1104', 'CVE-2005-0587', 'CVE-2005-1688', 'CVE-2005-2314', 'CVE-2007-1409', 'CVE-2008-0087', 'CVE-2008-2252', 'CVE-2009-3482', 'CVE-2020-3161', 'CVE-2020-3452']"
baseline,CAPEC,177,Create files with the same name as files protected with a higher classification,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0338', 'CVE-2000-1117', 'CVE-2001-0054', 'CVE-2001-0643', 'CVE-2001-1043', 'CVE-2002-0722', 'CVE-2002-0725', 'CVE-2002-0934', 'CVE-2003-0282', 'CVE-2003-0332', 'CVE-2003-0844', 'CVE-2003-1233', 'CVE-2004-0217', 'CVE-2004-0778', 'CVE-2004-0847', 'CVE-2005-0587', 'CVE-2005-1688', 'CVE-2007-5544', 'CVE-2008-2252', 'CVE-2009-3482']"
baseline,CAPEC,180,Exploiting Incorrectly Configured Access Control Security Levels,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0506', 'CVE-2002-0018', 'CVE-2002-0870', 'CVE-2002-1981', 'CVE-2004-0847', 'CVE-2005-1688', 'CVE-2005-2188', 'CVE-2005-2314', 'CVE-2007-1409', 'CVE-2007-2925', 'CVE-2008-2252', 'CVE-2009-2213', 'CVE-2010-2772', 'CVE-2017-0492', 'CVE-2020-3161', 'CVE-2020-3452', 'CVE-2020-3580', 'CVE-2022-29953', 'CVE-2022-30317', 'CVE-2022-30320']"
baseline,CAPEC,186,Malicious Software Update,6,20,3,17,3,0.15,0.5,0.23076923076923075,0.13043478260869565,0.0,1.0,"['CVE-2001-1125', 'CVE-2002-0671', 'CVE-2008-3324', 'CVE-2008-3438', 'CVE-2019-9534', 'CVE-2021-22909']","['CVE-2000-0253', 'CVE-2000-0944', 'CVE-2001-1125', 'CVE-2002-0018', 'CVE-2002-0722', 'CVE-2002-1145', 'CVE-2004-0217', 'CVE-2004-0778', 'CVE-2004-1104', 'CVE-2005-0587', 'CVE-2005-0918', 'CVE-2005-1688', 'CVE-2007-1409', 'CVE-2007-6033', 'CVE-2008-3324', 'CVE-2008-3438', 'CVE-2009-3482', 'CVE-2009-3489', 'CVE-2020-0688', 'CVE-2022-21668']"
baseline,CAPEC,187,Malicious Automated Software Update via Redirection,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2001-0004', 'CVE-2001-0709', 'CVE-2001-1125', 'CVE-2002-0722', 'CVE-2002-1603', 'CVE-2004-0068', 'CVE-2004-0847', 'CVE-2004-0892', 'CVE-2004-1104', 'CVE-2004-1656', 'CVE-2004-2219', 'CVE-2005-0587', 'CVE-2005-1688', 'CVE-2005-1894', 'CVE-2007-1409', 'CVE-2008-3324', 'CVE-2008-3438', 'CVE-2020-0688', 'CVE-2020-3161', 'CVE-2022-21668']"
baseline,CAPEC,19,Embedding Scripts within Scripts,7,20,1,19,6,0.05,0.14285714285714285,0.07407407407407408,0.038461538461538464,0.0,1.0,"['CVE-2010-4624', 'CVE-2020-13927', 'CVE-2021-21972', 'CVE-2021-37415', 'CVE-2022-23607', 'CVE-2022-24985', 'CVE-2022-29238']","['CVE-1999-0073', 'CVE-2001-0398', 'CVE-2001-0693', 'CVE-2001-1248', 'CVE-2001-1410', 'CVE-2002-0722', 'CVE-2002-1707', 'CVE-2002-1742', 'CVE-2002-1770', 'CVE-2004-0068', 'CVE-2004-1939', 'CVE-2004-2213', 'CVE-2005-1681', 'CVE-2006-3617', 'CVE-2006-4308', 'CVE-2007-0164', 'CVE-2007-1253', 'CVE-2020-0688', 'CVE-2020-3161', 'CVE-2021-21972']"
baseline,CAPEC,191,Read Sensitive Constants Within an Executable,18,20,0,20,18,0.0,0.0,0.0,0.0,0.0,1.0,"['CVE-2005-0496', 'CVE-2005-3716', 'CVE-2005-3803', 'CVE-2006-7142', 'CVE-2008-0961', 'CVE-2008-1160', 'CVE-2008-2369', 'CVE-2010-1573', 'CVE-2010-2073', 'CVE-2010-2772', 'CVE-2012-3503', 'CVE-2021-37555', 'CVE-2022-29953', 'CVE-2022-29960', 'CVE-2022-29964', 'CVE-2022-30271', 'CVE-2022-30314', 'CVE-2022-30997']","['CVE-1999-1125', 'CVE-2000-1117', 'CVE-2001-0004', 'CVE-2001-0693', 'CVE-2002-0934', 'CVE-2002-1707', 'CVE-2004-0127', 'CVE-2004-0778', 'CVE-2004-0847', 'CVE-2005-0918', 'CVE-2005-1205', 'CVE-2005-1575', 'CVE-2005-1688', 'CVE-2005-2209', 'CVE-2009-1466', 'CVE-2009-3482', 'CVE-2009-3489', 'CVE-2021-33080', 'CVE-2022-36069', 'CVE-2022-36349']"
baseline,CAPEC,2,Inducing Account Lockout,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-1999-1077', 'CVE-1999-1152', 'CVE-2000-0506', 'CVE-2001-1483', 'CVE-2002-0018', 'CVE-2003-1035', 'CVE-2004-1104', 'CVE-2005-1892', 'CVE-2005-2188', 'CVE-2005-2314', 'CVE-2006-4342', 'CVE-2007-6013', 'CVE-2008-1737', 'CVE-2008-2252', 'CVE-2008-2433', 'CVE-2009-0935', 'CVE-2009-2054', 'CVE-2009-2540', 'CVE-2019-0039', 'CVE-2020-3161']"
baseline,CAPEC,203,Manipulate Registry Information,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-1999-1125', 'CVE-2000-0102', 'CVE-2000-0506', 'CVE-2000-1117', 'CVE-2002-0018', 'CVE-2002-0108', 'CVE-2002-1145', 'CVE-2002-1981', 'CVE-2003-1233', 'CVE-2004-0892', 'CVE-2006-7142', 'CVE-2007-0164', 'CVE-2007-0681', 'CVE-2007-4432', 'CVE-2007-5778', 'CVE-2008-5027', 'CVE-2009-1048', 'CVE-2009-3482', 'CVE-2017-0492', 'CVE-2020-17533']"
baseline,CAPEC,204,Lifting Sensitive Data Embedded in Cache,22,20,4,16,18,0.2,0.18181818181818182,0.1904761904761905,0.10526315789473684,0.0,1.0,"['CVE-2002-1949', 'CVE-2004-1852', 'CVE-2005-3140', 'CVE-2007-4786', 'CVE-2007-4961', 'CVE-2007-5626', 'CVE-2007-5778', 'CVE-2008-0174', 'CVE-2008-0374', 'CVE-2008-1567', 'CVE-2008-3289', 'CVE-2008-4122', 'CVE-2008-4390', 'CVE-2008-6157', 'CVE-2008-6828', 'CVE-2009-0152', 'CVE-2009-0964', 'CVE-2009-1466', 'CVE-2009-1603', 'CVE-2009-2272', 'CVE-2021-33080', 'CVE-2022-31162']","['CVE-2000-1218', 'CVE-2001-1452', 'CVE-2002-0018', 'CVE-2002-1145', 'CVE-2002-1688', 'CVE-2005-1688', 'CVE-2005-2160', 'CVE-2007-0163', 'CVE-2007-0164', 'CVE-2007-5778', 'CVE-2008-3289', 'CVE-2008-3477', 'CVE-2009-2272', 'CVE-2009-2540', 'CVE-2015-1241', 'CVE-2020-15811', 'CVE-2020-3452', 'CVE-2021-33080', 'CVE-2022-23607', 'CVE-2022-30312']"
